productid,categoryname
1,Scanner
1,Video Game
2,Air Conditioner
2,Dryer
3,Recording Equipment
3,Satellite Radio
3,Speaker
4,Camera
5,GPS
5,Microwave
5,Video Game
6,Air Purifier
6,Battery
7,Bluray
7,DVD
8,Dryer
9,DVD
9,Video Game
10,MP3 Player
11,Computer
11,TV
12,Scanner
13,MP3 Player
14,Printer
14,Tool
15,TV
16,Printer
17,Camera Lens
17,CD
18,TV
19,Camera
19,Computer
20,Projector
21,Recording Equipment
22,Refridgerator
22,Speaker
23,Refridgerator
23,Washer
24,Microwave
24,Phone
24,Video Game
25,Fax
25,Washer
26,Camera
26,CD
27,Dryer
28,Microwave
28,Satellite Radio
29,Phone
30,Camera
30,CD
31,MP3 Player
31,Satellite Radio
32,Camera
33,Microwave
33,Washer
34,Microwave
34,Video Game
35,Phone
36,Camera Lens
36,Computer
36,Phone
37,Fax
37,Projector
37,Recording Equipment
38,Computer
39,Video Game
40,Battery
40,GPS
41,GPS
41,Tool
42,Speaker
42,Tool
43,Printer
44,Camera
45,GPS
46,Air Purifier
46,Battery
46,TV
47,Car Audio
47,Microwave
48,Air Conditioner
48,Printer
48,Refridgerator
49,Air Purifier
49,Camera
50,Camera
50,GPS
50,Recording Equipment
51,CD
52,Bluray
52,Phone
52,Satellite Radio
53,CD
54,Car Audio
54,Video Game
55,Air Conditioner
55,Phone
56,GPS
56,MP3 Player
56,TV
57,Scanner
58,Vacuum Cleaner
59,Printer
59,Video Game
60,Fax
61,GPS
61,Video Camera
62,Air Conditioner
62,Vacuum Cleaner
62,Video Camera
63,Air Purifier
63,Bluray
63,Recording Equipment
64,Dryer
64,Recording Equipment
64,Satellite Radio
65,DVD
65,Video Camera
66,Battery
67,DVD
67,MP3 Player
68,Car Audio
68,CD
68,Computer
69,Air Conditioner
70,Recording Equipment
70,Video Camera
71,Dryer
72,TV
73,Computer
73,Dryer
73,Video Camera
74,Dryer
75,Bluray
75,Camera Lens
75,Fax
76,Air Conditioner
77,Projector
77,Refridgerator
78,Scanner
79,Air Purifier
79,DVD
79,Recording Equipment
80,Printer
80,Video Camera
81,Phone
82,Projector
82,Recording Equipment
83,Projector
84,Bluray
85,Recording Equipment
85,Vacuum Cleaner
86,Computer
86,TV
87,Computer
88,Battery
89,Car Audio
89,DVD
89,Refridgerator
90,DVD
91,Battery
91,MP3 Player
91,Printer
92,Speaker
92,Tool
93,Car Audio
93,GPS
93,Video Camera
94,Computer
94,Projector
94,Speaker
95,Microwave
95,Video Camera
96,Fax
96,Refridgerator
97,DVD
97,Printer
97,Recording Equipment
98,Fax
99,Battery
99,Car Audio
99,Tool
100,Phone
100,Video Camera
100,Video Game
101,Speaker
101,Video Camera
102,Camera Lens
102,Vacuum Cleaner
103,Fax
103,Printer
104,CD
105,Air Purifier
105,Battery
105,Bluray
106,Camera Lens
106,Printer
106,Projector
107,Projector
108,Fax
109,Fax
109,Tool
110,Computer
110,GPS
110,Vacuum Cleaner
111,Fax
112,CD
112,DVD
112,Video Camera
113,Satellite Radio
114,Camera
114,Computer
114,GPS
115,Fax
116,CD
117,Car Audio
117,Speaker
117,Vacuum Cleaner
118,CD
118,Refridgerator
119,Tool
119,Video Game
120,GPS
120,Projector
120,Video Camera
121,Washer
122,CD
122,DVD
123,Camera Lens
123,Phone
123,Vacuum Cleaner
124,Air Conditioner
124,CD
124,Microwave
125,Air Conditioner
125,Washer
126,Video Camera
126,Washer
127,Camera
127,Washer
128,GPS
128,Printer
128,TV
129,Washer
130,Battery
131,Dryer
131,DVD
131,Satellite Radio
132,Air Conditioner
133,Printer
133,Speaker
134,Fax
135,DVD
136,Battery
136,Video Camera
137,CD
137,Dryer
137,Fax
138,Bluray
138,Scanner
138,Speaker
139,Air Conditioner
139,Tool
140,Dryer
140,Phone
141,Bluray
141,Camera
142,Fax
142,MP3 Player
142,TV
143,GPS
143,Tool
144,Video Game
145,Printer
146,Speaker
146,Tool
146,TV
147,Battery
147,Bluray
148,Air Purifier
148,Battery
148,Dryer
149,Camera
149,CD
149,Microwave
150,Air Purifier
150,Phone
150,Vacuum Cleaner
151,Air Purifier
151,Car Audio
151,Phone
152,Microwave
153,Air Purifier
153,CD
153,Tool
154,Bluray
154,Recording Equipment
154,Satellite Radio
155,Battery
155,Car Audio
156,DVD
156,Phone
156,Scanner
157,Scanner
157,Washer
158,Phone
158,Scanner
159,Bluray
159,Speaker
160,Projector
160,Video Camera
161,Car Audio
161,Printer
162,Fax
163,Phone
164,Printer
164,Video Game
165,Battery
165,Recording Equipment
165,TV
166,Recording Equipment
167,Scanner
167,Video Game
168,Recording Equipment
169,Car Audio
169,GPS
169,Vacuum Cleaner
170,Battery
170,Microwave
170,Phone
171,Computer
172,Camera
172,Car Audio
172,Microwave
173,Video Camera
174,Refridgerator
174,Scanner
174,Speaker
175,GPS
175,Video Camera
176,Fax
176,Recording Equipment
177,Scanner
178,Battery
178,Car Audio
178,Washer
179,Fax
179,Projector
179,Vacuum Cleaner
180,Recording Equipment
180,Vacuum Cleaner
180,Washer
181,Bluray
181,CD
182,Computer
182,GPS
182,Vacuum Cleaner
183,Satellite Radio
184,Car Audio
185,Computer
185,Video Game
186,Bluray
186,Car Audio
186,Satellite Radio
187,Camera
187,GPS
188,DVD
188,GPS
188,Video Game
189,CD
189,Computer
190,Computer
191,GPS
191,Microwave
191,Satellite Radio
192,Speaker
193,MP3 Player
193,Tool
194,MP3 Player
195,Scanner
196,Satellite Radio
196,Tool
197,Air Conditioner
197,Air Purifier
197,Printer
198,Tool
199,Refridgerator
200,Speaker
200,Video Camera
200,Video Game
201,Vacuum Cleaner
201,Washer
202,Air Conditioner
202,MP3 Player
202,TV
203,Speaker
203,Vacuum Cleaner
203,Video Camera
204,Dryer
204,Projector
204,Video Camera
205,Camera Lens
205,Dryer
205,Refridgerator
206,Computer
206,Projector
206,Scanner
207,MP3 Player
208,Recording Equipment
208,TV
208,Washer
209,Recording Equipment
209,Scanner
210,MP3 Player
211,Camera Lens
211,TV
211,Washer
212,Microwave
212,TV
212,Vacuum Cleaner
213,GPS
213,Printer
214,Bluray
214,Microwave
214,Projector
215,Refridgerator
215,Scanner
215,TV
216,Dryer
216,Projector
217,MP3 Player
218,DVD
219,Projector
219,Video Camera
219,Video Game
220,Dryer
220,Projector
220,Speaker
221,Camera
221,DVD
222,Computer
222,Fax
222,Phone
223,Dryer
223,Video Game
224,Battery
224,Bluray
225,Dryer
225,Phone
225,Tool
226,Camera Lens
226,Refridgerator
226,Satellite Radio
227,Car Audio
227,Vacuum Cleaner
228,Air Purifier
228,Printer
228,Video Game
229,Air Purifier
229,Battery
229,Projector
230,Camera
231,Microwave
231,Vacuum Cleaner
232,Fax
232,Projector
232,Scanner
233,Camera
233,Phone
233,TV
234,Battery
234,Dryer
234,Fax
235,Refridgerator
236,Camera
236,Speaker
236,Tool
237,Camera
237,MP3 Player
237,Recording Equipment
238,Camera Lens
239,DVD
239,Refridgerator
240,Projector
240,Video Camera
241,Camera Lens
241,Refridgerator
241,Scanner
242,Printer
242,Projector
243,MP3 Player
244,Computer
244,Dryer
245,Camera
245,Printer
246,Recording Equipment
247,Fax
247,TV
248,Fax
248,MP3 Player
248,Refridgerator
249,Camera
249,Video Game
250,Computer
250,Vacuum Cleaner
251,DVD
252,Bluray
252,MP3 Player
252,Video Game
253,Dryer
254,Bluray
255,Car Audio
255,GPS
256,Air Conditioner
256,Fax
256,Phone
257,Camera Lens
258,DVD
258,Microwave
259,Recording Equipment
260,Air Purifier
260,Battery
260,Tool
261,Tool
262,Fax
263,Phone
264,Camera
264,Vacuum Cleaner
265,Tool
265,Vacuum Cleaner
266,Computer
266,DVD
266,Printer
267,MP3 Player
267,Phone
268,Camera Lens
268,CD
268,Phone
269,Bluray
269,Refridgerator
270,Car Audio
270,Video Game
270,Washer
271,Air Conditioner
271,Car Audio
271,Printer
272,Camera Lens
272,Fax
272,Refridgerator
273,Computer
273,Microwave
274,Satellite Radio
274,Washer
275,Air Purifier
276,Computer
277,Tool
277,Video Game
278,Projector
278,Refridgerator
279,Dryer
280,Air Conditioner
280,Air Purifier
281,Vacuum Cleaner
282,Battery
282,Car Audio
282,Phone
283,Bluray
284,CD
284,DVD
285,Air Conditioner
285,Bluray
285,Dryer
286,Camera Lens
286,Speaker
286,Tool
287,DVD
287,Microwave
287,MP3 Player
288,Car Audio
288,Washer
289,Camera Lens
289,Refridgerator
290,Dryer
290,Video Camera
291,Camera
291,Recording Equipment
292,Air Purifier
292,Battery
293,Bluray
294,Car Audio
294,Satellite Radio
295,Camera Lens
295,Dryer
295,TV
296,Car Audio
296,CD
297,Tool
297,Video Game
298,Air Conditioner
298,Camera Lens
298,Video Game
299,Car Audio
300,Dryer
300,Washer
301,MP3 Player
302,Recording Equipment
302,Vacuum Cleaner
303,Camera Lens
304,Dryer
304,Tool
304,Washer
305,CD
305,MP3 Player
305,TV
306,Camera Lens
306,Video Camera
307,Scanner
308,Camera
308,Camera Lens
308,Phone
309,Washer
310,Battery
311,Air Purifier
311,Scanner
312,Camera Lens
312,Projector
313,Phone
314,Microwave
314,Projector
315,Tool
315,TV
316,Air Conditioner
316,Air Purifier
316,Projector
317,Air Conditioner
318,Air Conditioner
318,Microwave
318,Video Game
319,Fax
320,Fax
320,Phone
321,TV
322,Camera Lens
322,MP3 Player
323,Recording Equipment
324,Air Purifier
325,Tool
326,GPS
327,Air Conditioner
327,MP3 Player
327,Printer
328,Battery
328,Projector
328,Speaker
329,Air Conditioner
329,GPS
330,Air Conditioner
330,Speaker
331,DVD
331,Tool
332,GPS
332,Vacuum Cleaner
333,Bluray
333,Camera Lens
333,Computer
334,Air Purifier
334,Vacuum Cleaner
334,Video Camera
335,CD
335,DVD
336,Speaker
337,Air Conditioner
337,GPS
338,Phone
339,Air Conditioner
339,Battery
340,Bluray
341,Air Conditioner
341,Scanner
341,Video Game
342,Printer
342,Recording Equipment
342,Washer
343,Air Conditioner
343,Air Purifier
344,CD
344,Microwave
345,Scanner
346,Scanner
347,Phone
348,Fax
348,MP3 Player
348,Washer
349,Computer
350,Computer
350,Phone
350,Vacuum Cleaner
351,Tool
351,Vacuum Cleaner
352,CD
352,Projector
352,Speaker
353,Phone
353,Printer
354,Air Conditioner
354,Air Purifier
355,Camera
356,Microwave
356,MP3 Player
356,Scanner
357,Dryer
357,Refridgerator
357,Scanner
358,Bluray
358,Camera
358,TV
359,Camera Lens
359,Car Audio
